"gvkey","Restate_Int","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
1327,0,513.718,4.8811,415.122,200,41.381,0,64.216,480.89,153.516,741.744,5.108,0.389318653424642,0.212322406194041,0.00688647296102159
1327,1,494.656,5.7021,471.414,137.616,51.645,0,90.938,483.671,173.36,860.017,2.726,0.27820545995601,0.22952823270594,0.00316970478490541
1327,0,590.127,6.3949,439.944,47.116,50.531,0,87.685,482.893,162.299,802.577,5.108,0.0798404411253849,0.237424235305173,0.00636449835965895
1331,0,456.058,5.8897,1775.247,445.494,71.571,72.5,344.524,301.425,235.963,2427.843,82.987,0.976836279596016,0.232725487263197,0.0341813700474042
1331,0,1308.2,6.1986,4503,2169.5,221.4,104.332,264,1862.107,916.362,5653,74.03,1.65838556795597,0.194592542201269,0.0130957013974881
1356,0,8790,15.3033,21217,5279,1265,524,2131,6249,13163,26159,882.054,0.600568828213879,0.0876767396728583,0.0337189495011277
1356,0,9157,16.7977,23354,5910,1280,524,4130,6166,14813,30379,1486.407,0.645407884678388,0.0795376871931896,0.0489287665821785
1356,0,8086,19.2905,24248,6371,1268,590,3557,4806,16879,30748,1333.648,0.787905021023992,0.0698738083429768,0.0433734877065175
1356,0,8150,14.5942,21983,8509,1234,556,2271,4981,17455,26901,892.839,1.0440490797546,0.0660281448980684,0.0331898070703691
1356,0,7022,12.6901,16652,8974,1311,228,-702,5051,19828,18439,74.03,1.27798348048989,0.0620180708642793,0.00401485980801562
1380,0,5290,60.1186,18144,3759,1103,159,1995,977,9512,22747,311.795,0.710586011342155,0.10390956194065,0.0137070822526047
1380,0,5848,25.7477,21292,3745,1323,161,3618,1253,12308,28067,1262.16,0.640389876880985,0.0970581762159783,0.0449695371788934
1380,0,6926,30.4866,24315,3918,1678,127,3747,1225,14634,31711,1625.996,0.565694484550967,0.102869053457577,0.0512754564662105
1380,0,7332,37.7361,31661,3812,2154,130,5053,1225,16271,41165,3468,0.519912711402073,0.116906377204885,0.0842463257621766
1380,0,7987,40.901,22949,4319,2485,131,1927,1225,16627,29614,1486.407,0.540753724802805,0.130023022185015,0.0501927129060579
1382,0,2559,5.143,4297,2749,88,0,-88,732,2064,5077,1045,1.07424775302853,0.0408921933085502,0.205830214693717
1382,0,3354,10.6262,9128,2907,175,0,585,629,2114,11557,2090,0.866726296958855,0.0764525993883792,0.180842779267976
1382,0,3347,15.6643,9320,3031,189,0,470,622,2488,11700,2302,0.905587092919032,0.0706014194994397,0.196752136752137
1382,0,2418,-4.4254,10967,3634,215,0,-746,0,3286,12118,2231,1.50289495450786,0.0614110254213082,0.184106288166364
1382,0,2331,-2.2036,8499,4024,242,0,183,0,3696,10458,2165,1.72629772629773,0.0614525139664804,0.207018550392044
1388,0,295.43,3.7531,5.256,29.878,0.077,2.953,42.437,0,2.069,106.766,5.108,0.101133940358122,0.0358807082945014,0.0478429462562988
1388,0,172.227,6.3496,434.534,80.12,18.46,0,113.308,127.027,115.843,681.662,2.726,0.465199997677484,0.137450392024005,0.00399904938224516
1388,1,266.664,6.8528,68.221,205.5,1.915,0,49.905,153.145,199.946,202.617,5.108,0.770632706327063,0.00948672601443568,0.0252101255077313
1388,0,198.681,5.7706,193.88,112.835,26.031,0,85.544,8.919,211.382,441.963,82.987,0.56792043527061,0.109644374992102,0.187769111893982
1388,0,439.569,11.0964,739.767,304.294,50.957,0,70.287,104.637,442.4,1051.546,2.726,0.692255368326702,0.103286261267196,0.00259237351480582
1397,0,204.937,5.3704,318.324,1.963,16,0,-11.5,11.726,115.336,445.172,137.408,0.00957855340909645,0.121824937564719,0.308662719128786
1397,0,182.322,5.2397,312.085,8.971,15.5,0,11.265,11.475,106.38,435.537,137.408,0.0492041552857033,0.127174269773548,0.315490991580509
1397,0,177.394,5.7725,297.314,6.725,15.5,0,12.622,11.49,99.153,420.725,2.726,0.0379099631329132,0.135190531429618,0.00647929169885317
1397,0,171.201,-13.5921,277.901,1.112,14.6,0,-7.321,0,88.466,375.093,2.726,0.00649528916303059,0.141656802437273,0.00726753098564889
1397,0,149.368,-12.9646,227.385,7.134,13.9,0,-11.811,0,80.541,307.925,82.987,0.0477612339992502,0.147181838396459,0.269503937647154
1408,0,3192.7,24.8752,3652,4889.9,224.4,201.6,1183.5,3633.5,1679.6,6734.7,2.726,1.53158768440505,0.117857142857143,0.00040476932899758
1408,0,3930.1,31.0824,4398.7,5034.9,254.7,224,1536.6,4345.6,1948.5,8255,5.108,1.28111243988703,0.115604575163399,0.00061877649909146
1408,0,3780.9,36.9024,4317.1,3942.7,280.4,248.6,1431.9,4196.5,1698.2,8052.2,137.408,1.0427940437462,0.141716365106641,0.0170646531382728
1408,0,3468.1,31.1821,3818.1,4688.6,262.8,261.2,1050.3,3571.8,1553.9,7105.1,2.726,1.35192180156282,0.144657896185391,0.000383668069414927
1408,0,3871.7,33.8126,3303.2,4413.3,252,152.2,718.9,3576.5,1467.9,6205.4,82.987,1.13988687140016,0.146520146520146,0.013373352241596
1410,0,521.453,9.7027,2298.769,0,19.591,20.744,64.775,243.559,34.27,2582.266,82.987,0,0.363732570876887,0.032137277879196
1410,0,631.741,11.1288,2406.571,0,20.745,21.577,83.974,247.888,32.185,2712.668,74.03,0,0.391932741356509,0.0272904756498031
1410,0,642.89,12.1106,2526.955,0,18.752,23.805,78.354,252.179,38.945,2837.811,5.108,0,0.325008232663743,0.00179997892741976
1410,1,635.069,12.6376,3208.356,230,28.075,25.271,114.309,535.772,61.067,3623.59,82.987,0.36216537100693,0.314946938592358,0.022901873556335
