"gvkey","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
2555,697.421,3.6678,11.931,302.457,27.01,0,104.977,108.97,1.926,266.654,92.3,0.43367922675113,0.933439314348908,0.346141441718482
2556,2583.7,35.7354,7901,1167.561,1.691,0,-14.77,291.657,2884.6,7801.559,2957,0.451894956844835,0.000585873011418461,0.379026807334278
2573,35.951,5.2497,77.009,0.024,0.512,0,1.448,0,0.873,95.018,1004.974,0.000667575310839754,0.369675090252708,10.5766696836389
2574,2855,23.454,6588,8051,947,372,3101,70,23799,10636,2957,2.8199649737303,0.0382688111209893,0.27801805189921
2577,266.655,8.0197,414.913,70,17.565,4.089,29.54,0.5,78.213,552.641,808.819,0.262511484877463,0.183392845956274,1.46355228801338
2578,476.592,11.8613,275.474,0,20.3,0,226.5,0,48.711,897.613,419.14,0,0.294156004115286,0.466949565124391
2581,15.816,3.3739,9.789,3.397,0.589,0,0.946,0,7.554,16.258,1004.974,0.214782498735458,0.0723320643497482,61.814122278263
2593,1438,20.2233,2148,600,143,47,300,39,975,2893,305.6,0.417246175243394,0.127906976744186,0.105634289664708
2595,51.755,3.8282,127.662,0.319,9.421,0,-17.031,0,24.753,206.519,1004.974,0.00616365568544102,0.275677415579095,4.86625443663779
2596,840.746,38.7025,2209.513,252.451,51.1,0,194.782,1161.861,58.666,3149.131,419.14,0.300270236194998,0.465535776105534,0.133097035340861
2615,2248.613,26.8037,3498,2077,736.273,1427.998,3043,2383.3,6847,9337,2172,0.923680508829221,0.0970917175209174,0.232622898147156
2628,126.21,20.9056,332.689,479.181,42.828,24.753,84.882,2.615,1281.195,460.399,891,3.79669598288567,0.0323468701072413,1.93527787853579
2663,1687,2.756,4275,1945,251,365,1364,1919,2051,7676,2501,1.15293420272673,0.109035621198957,0.325820739968734
2710,215.561,24.7646,740.028,389.4,52,0,41.938,4.6,137.036,879.509,213.115,1.80644921855067,0.275079878964853,0.242311335074456
